abn,remuneration_quartile,reporting_period,avg_total_remuneration
24603467024,Lower quartile,2023 - 24,"79,000.00"
24597445592,Lower middle quartile,2024 - 25,"70,000.00"
24597445592,Upper quartile,2023 - 24,"113,000.00"
24597445592,Upper middle quartile,2023 - 24,"84,000.00"
24597445592,Total workforce,2023 - 24,"80,000.00"
24597445592,Lower quartile,2023 - 24,"54,000.00"
24589292505,Lower middle quartile,2024 - 25,"91,000.00"
24589292505,Upper quartile,2023 - 24,"175,000.00"
24589292505,Upper middle quartile,2024 - 25,"121,000.00"
24589292505,Total workforce,2023 - 24,"110,000.00"
24589292505,Lower quartile,2023 - 24,"65,000.00"
24550946840,Lower middle quartile,2024 - 25,"104,000.00"
24550946840,Upper quartile,2023 - 24,"139,000.00"
24550946840,Upper middle quartile,2024 - 25,"120,000.00"
24550946840,Total workforce,2023 - 24,"105,000.00"
24550946840,Lower quartile,2023 - 24,"75,000.00"
24513254299,Lower middle quartile,2024 - 25,"65,000.00"
24513254299,Upper quartile,2023 - 24,"110,000.00"
24513254299,Upper middle quartile,2023 - 24,"74,000.00"
24513254299,Total workforce,2023 - 24,"77,000.00"
24513254299,Lower quartile,2023 - 24,"57,000.00"
24481364152,Lower middle quartile,2024 - 25,"96,000.00"
24481364152,Upper quartile,2023 - 24,"193,000.00"
24481364152,Upper middle quartile,2023 - 24,"138,000.00"
24481364152,Total workforce,2023 - 24,"126,000.00"
24481364152,Lower quartile,2023 - 24,"78,000.00"
24459030832,Lower middle quartile,2024 - 25,"85,000.00"
24459030832,Upper quartile,2023 - 24,"159,000.00"
24459030832,Upper middle quartile,2024 - 25,"123,000.00"
24459030832,Total workforce,2023 - 24,"104,000.00"
24459030832,Lower quartile,2023 - 24,"63,000.00"
24450502757,Lower quartile,2024 - 25,"36,000.00"
24450502757,Lower middle quartile,2024 - 25,"51,000.00"
24450502757,Upper quartile,2023 - 24,"106,000.00"
24450502757,Upper middle quartile,2023 - 24,"62,000.00"
24450502757,Total workforce,2023 - 24,"64,000.00"
24327148629,Lower quartile,2024 - 25,"64,000.00"
24327148629,Lower middle quartile,2024 - 25,"84,000.00"
24327148629,Upper quartile,2023 - 24,"149,000.00"
24327148629,Upper middle quartile,2023 - 24,"112,000.00"
24327148629,Total workforce,2023 - 24,"98,000.00"
24261109966,Lower middle quartile,2024 - 25,"80,000.00"
24261109966,Upper quartile,2023 - 24,"125,000.00"
24261109966,Upper middle quartile,2023 - 24,"84,000.00"
24261109966,Total workforce,2023 - 24,"85,000.00"
24261109966,Lower quartile,2023 - 24,"58,000.00"
24167987064,Lower middle quartile,2024 - 25,"85,000.00"
24164403516,Lower middle quartile,2024 - 25,"214,000.00"
24164403516,Upper quartile,2023 - 24,"416,000.00"
24164403516,Upper middle quartile,2023 - 24,"289,000.00"
24164403516,Total workforce,2023 - 24,"271,000.00"
24164403516,Lower quartile,2023 - 24,"161,000.00"
24158631979,Lower middle quartile,2024 - 25,"148,000.00"
24158631979,Upper quartile,2023 - 24,"223,000.00"
24158631979,Upper middle quartile,2023 - 24,"171,000.00"
24158631979,Total workforce,2023 - 24,"157,000.00"
24158631979,Lower quartile,2023 - 24,"93,000.00"
24151641593,Lower middle quartile,2024 - 25,"76,000.00"
24151641593,Upper quartile,2023 - 24,"96,000.00"
24151641593,Upper middle quartile,2023 - 24,"78,000.00"
24151641593,Total workforce,2023 - 24,"78,000.00"
24151641593,Lower quartile,2023 - 24,"66,000.00"
24151048225,Lower middle quartile,2024 - 25,"142,000.00"
24151048225,Upper quartile,2023 - 24,"238,000.00"
24151048225,Upper middle quartile,2023 - 24,"182,000.00"
24151048225,Total workforce,2023 - 24,"162,000.00"
24151048225,Lower quartile,2023 - 24,"95,000.00"
24151023040,Lower middle quartile,2024 - 25,"69,000.00"
24151023040,Upper quartile,2023 - 24,"88,000.00"
24151023040,Upper middle quartile,2023 - 24,"72,000.00"
24151023040,Total workforce,2023 - 24,"71,000.00"
24151023040,Lower quartile,2023 - 24,"54,000.00"
24150129749,Lower middle quartile,2024 - 25,"135,000.00"
24149390625,Lower middle quartile,2024 - 25,"132,000.00"
24149390625,Upper quartile,2023 - 24,"278,000.00"
24149390625,Upper middle quartile,2023 - 24,"175,000.00"
24149390625,Total workforce,2023 - 24,"166,000.00"
24149390625,Lower quartile,2023 - 24,"87,000.00"
24147664579,Lower middle quartile,2024 - 25,"67,000.00"
24147664579,Upper quartile,2023 - 24,"78,000.00"
24147664579,Upper middle quartile,2023 - 24,"65,000.00"
24147664579,Total workforce,2023 - 24,"66,000.00"
24147664579,Lower quartile,2023 - 24,"57,000.00"
24146498179,Lower middle quartile,2024 - 25,"105,000.00"
24146498179,Upper quartile,2023 - 24,"158,000.00"
24146498179,Upper middle quartile,2024 - 25,"132,000.00"
24146498179,Total workforce,2023 - 24,"111,000.00"
24146498179,Lower quartile,2023 - 24,"82,000.00"
24144972949,Lower middle quartile,2024 - 25,"100,000.00"
24144972949,Upper quartile,2023 - 24,"169,000.00"
24144972949,Upper middle quartile,2023 - 24,"117,000.00"
24144972949,Total workforce,2023 - 24,"111,000.00"
24144972949,Lower quartile,2023 - 24,"69,000.00"
24133087797,Lower middle quartile,2024 - 25,"76,000.00"
24133087797,Upper quartile,2023 - 24,"150,000.00"
24133087797,Upper middle quartile,2023 - 24,"81,000.00"
24133087797,Total workforce,2023 - 24,"93,000.00"
24133087797,Lower quartile,2023 - 24,"70,000.00"
24130242554,Lower middle quartile,2024 - 25,"146,000.00"
24130242554,Upper quartile,2023 - 24,"261,000.00"
24130242554,Upper middle quartile,2023 - 24,"167,000.00"
24130242554,Total workforce,2023 - 24,"162,000.00"
24130242554,Lower quartile,2023 - 24,"86,000.00"
24128531078,Lower middle quartile,2024 - 25,"103,000.00"
24128531078,Upper quartile,2023 - 24,"186,000.00"
24128531078,Upper middle quartile,2023 - 24,"137,000.00"
24128531078,Total workforce,2023 - 24,"124,000.00"
24128531078,Lower quartile,2023 - 24,"71,000.00"
24126819154,Lower middle quartile,2024 - 25,"77,000.00"
24126819154,Upper quartile,2023 - 24,"155,000.00"
24126819154,Upper middle quartile,2023 - 24,"88,000.00"
24126819154,Total workforce,2023 - 24,"95,000.00"
24126819154,Lower quartile,2023 - 24,"62,000.00"
24125965862,Lower middle quartile,2024 - 25,"116,000.00"
24125677054,Lower quartile,2024 - 25,"121,000.00"
24125677054,Lower middle quartile,2024 - 25,"150,000.00"
24125677054,Upper quartile,2023 - 24,"238,000.00"
24125677054,Upper middle quartile,2023 - 24,"172,000.00"
24125677054,Total workforce,2023 - 24,"167,000.00"
24125167553,Lower middle quartile,2024 - 25,"141,000.00"
24125167553,Upper quartile,2023 - 24,"472,000.00"
24125167553,Upper middle quartile,2023 - 24,"243,000.00"
24125167553,Total workforce,2023 - 24,"243,000.00"
24125167553,Lower quartile,2023 - 24,"99,000.00"
24112498343,Lower quartile,2024 - 25,"77,000.00"
24112498343,Lower middle quartile,2024 - 25,"77,000.00"
24111925225,Lower middle quartile,2024 - 25,"118,000.00"
24111925225,Upper quartile,2023 - 24,"178,000.00"
24111925225,Upper middle quartile,2023 - 24,"133,000.00"
24111925225,Total workforce,2023 - 24,"125,000.00"
24111925225,Lower quartile,2023 - 24,"80,000.00"
24100434991,Lower middle quartile,2024 - 25,"94,000.00"
24100434991,Upper quartile,2023 - 24,"336,000.00"
24100434991,Upper middle quartile,2023 - 24,"136,000.00"
24100434991,Total workforce,2023 - 24,"156,000.00"
24100434991,Lower quartile,2023 - 24,"64,000.00"
24099016789,Lower middle quartile,2024 - 25,"64,000.00"
24097262459,Lower middle quartile,2024 - 25,"110,000.00"
24097262459,Upper quartile,2023 - 24,"146,000.00"
24097262459,Upper middle quartile,2023 - 24,"116,000.00"
24097262459,Total workforce,2023 - 24,"113,000.00"
24097262459,Lower quartile,2023 - 24,"87,000.00"
24093912979,Lower middle quartile,2024 - 25,"35,000.00"
24093912979,Upper quartile,2023 - 24,"76,000.00"
24093912979,Upper middle quartile,2023 - 24,"47,000.00"
24093912979,Total workforce,2023 - 24,"46,000.00"
24093912979,Lower quartile,2023 - 24,"27,000.00"
24093139354,Lower middle quartile,2024 - 25,"62,000.00"
24093139354,Upper quartile,2023 - 24,"110,000.00"
24093139354,Upper middle quartile,2023 - 24,"71,000.00"
24093139354,Total workforce,2023 - 24,"77,000.00"
24093139354,Lower quartile,2023 - 24,"60,000.00"
24092238634,Lower middle quartile,2024 - 25,"75,000.00"
24092238634,Upper quartile,2023 - 24,"131,000.00"
24092238634,Upper middle quartile,2023 - 24,"77,000.00"
24092238634,Total workforce,2023 - 24,"86,000.00"
24092238634,Lower quartile,2023 - 24,"63,000.00"
24091536364,Lower middle quartile,2024 - 25,"129,000.00"
24085316310,Lower middle quartile,2024 - 25,"131,000.00"
24085316310,Upper quartile,2023 - 24,"220,000.00"
24085316310,Upper middle quartile,2023 - 24,"157,000.00"
24085316310,Total workforce,2023 - 24,"149,000.00"
24085316310,Lower quartile,2023 - 24,"91,000.00"
24083928045,Lower middle quartile,2024 - 25,"250,000.00"
24083928045,Upper quartile,2023 - 24,"280,000.00"
24083928045,Upper middle quartile,2023 - 24,"226,000.00"
24083928045,Total workforce,2023 - 24,"215,000.00"
24083928045,Lower quartile,2023 - 24,"154,000.00"
24081897823,Lower middle quartile,2024 - 25,"71,000.00"
24081897823,Upper quartile,2023 - 24,"137,000.00"
24081897823,Upper middle quartile,2023 - 24,"77,000.00"
24081897823,Total workforce,2023 - 24,"85,000.00"
24081897823,Lower quartile,2023 - 24,"59,000.00"
24078443599,Lower middle quartile,2024 - 25,"82,000.00"
24077737663,Lower middle quartile,2024 - 25,"60,000.00"
24077737663,Upper quartile,2023 - 24,"160,000.00"
24077737663,Upper middle quartile,2024 - 25,"64,000.00"
24077737663,Total workforce,2023 - 24,"95,000.00"
24077737663,Lower quartile,2023 - 24,"64,000.00"
24077153130,Lower middle quartile,2024 - 25,"148,000.00"
24077102526,Lower middle quartile,2024 - 25,"78,000.00"
24077102526,Upper quartile,2023 - 24,"140,000.00"
24077102526,Upper middle quartile,2023 - 24,"93,000.00"
24077102526,Total workforce,2023 - 24,"92,000.00"
24077102526,Lower quartile,2023 - 24,"59,000.00"
24071878549,Lower middle quartile,2024 - 25,"88,000.00"
24071878549,Upper quartile,2023 - 24,"145,000.00"
24071878549,Upper middle quartile,2023 - 24,"117,000.00"
24071878549,Total workforce,2023 - 24,"104,000.00"
24071878549,Lower quartile,2023 - 24,"69,000.00"
24068136274,Lower quartile,2024 - 25,"75,000.00"
24068136274,Lower middle quartile,2024 - 25,"122,000.00"
24065818939,Lower middle quartile,2024 - 25,"139,000.00"
24065818939,Upper quartile,2023 - 24,"279,000.00"
24065818939,Upper middle quartile,2023 - 24,"181,000.00"
24065818939,Total workforce,2023 - 24,"167,000.00"
24065818939,Lower quartile,2023 - 24,"77,000.00"
24057733892,Lower middle quartile,2024 - 25,"98,000.00"
24057733892,Upper quartile,2023 - 24,"148,000.00"
24057733892,Upper middle quartile,2024 - 25,"117,000.00"
24057733892,Total workforce,2023 - 24,"110,000.00"
24057733892,Lower quartile,2023 - 24,"80,000.00"
24053113992,Lower middle quartile,2024 - 25,"81,000.00"
24053113992,Upper quartile,2023 - 24,"115,000.00"
24053113992,Upper middle quartile,2023 - 24,"92,000.00"
24053113992,Total workforce,2023 - 24,"87,000.00"
24053113992,Lower quartile,2023 - 24,"65,000.00"
24051130600,Upper quartile,2023 - 24,"159,000.00"
24051130600,Upper middle quartile,2023 - 24,"112,000.00"
24051130600,Total workforce,2023 - 24,"112,000.00"
24051130600,Lower quartile,2023 - 24,"80,000.00"
24051130600,Lower middle quartile,2023 - 24,"97,000.00"
24037825151,Lower quartile,2024 - 25,"94,000.00"
24037825151,Lower middle quartile,2024 - 25,"100,000.00"
24037825151,Upper quartile,2023 - 24,"89,000.00"
24037825151,Upper middle quartile,2023 - 24,"75,000.00"
24037825151,Total workforce,2023 - 24,"78,000.00"
24010007315,Lower quartile,2024 - 25,"62,000.00"
24010007315,Lower middle quartile,2024 - 25,"67,000.00"
24010007315,Upper quartile,2023 - 24,"109,000.00"
24010007315,Upper middle quartile,2023 - 24,"72,000.00"
24010007315,Total workforce,2023 - 24,"75,000.00"
24009898159,Lower middle quartile,2024 - 25,"87,000.00"
24009898159,Upper quartile,2023 - 24,"181,000.00"
24009898159,Upper middle quartile,2023 - 24,"105,000.00"
24009898159,Total workforce,2023 - 24,"112,000.00"
24009898159,Lower quartile,2023 - 24,"73,000.00"
24008445743,Lower middle quartile,2024 - 25,"159,000.00"
24008445743,Upper quartile,2023 - 24,"311,000.00"
24008445743,Upper middle quartile,2023 - 24,"207,000.00"
24008445743,Total workforce,2023 - 24,"197,000.00"
24008445743,Lower quartile,2023 - 24,"108,000.00"
24008137559,Upper quartile,2023 - 24,"173,000.00"
24008137559,Upper middle quartile,2023 - 24,"87,000.00"
24008137559,Total workforce,2023 - 24,"95,000.00"
24008137559,Lower quartile,2023 - 24,"57,000.00"
24008137559,Lower middle quartile,2023 - 24,"64,000.00"
24007711435,Lower middle quartile,2024 - 25,"111,000.00"
24007711435,Upper quartile,2023 - 24,"238,000.00"
24007711435,Upper middle quartile,2023 - 24,"139,000.00"
24007711435,Total workforce,2023 - 24,"140,000.00"
24007711435,Lower quartile,2023 - 24,"79,000.00"
24004898828,Lower quartile,2024 - 25,"141,000.00"
24004898828,Lower middle quartile,2024 - 25,"159,000.00"
24004898828,Upper quartile,2023 - 24,"210,000.00"
24004898828,Upper middle quartile,2023 - 24,"166,000.00"
24004898828,Total workforce,2023 - 24,"165,000.00"
24004406688,Lower quartile,2024 - 25,"73,000.00"
24004406688,Lower middle quartile,2024 - 25,"89,000.00"
24004406688,Upper quartile,2023 - 24,"206,000.00"
24004406688,Upper middle quartile,2023 - 24,"107,000.00"
24004406688,Total workforce,2023 - 24,"116,000.00"
24003982675,Lower quartile,2024 - 25,"72,000.00"
24003982675,Lower middle quartile,2024 - 25,"92,000.00"
24003982675,Upper quartile,2023 - 24,"163,000.00"
24003982675,Upper middle quartile,2023 - 24,"95,000.00"
24003982675,Total workforce,2023 - 24,"98,000.00"
24003738449,Lower middle quartile,2024 - 25,"120,000.00"
24003738449,Upper quartile,2023 - 24,"249,000.00"
24003738449,Upper middle quartile,2023 - 24,"157,000.00"
24003738449,Total workforce,2023 - 24,"148,000.00"
24003738449,Lower quartile,2023 - 24,"79,000.00"
24003672839,Lower middle quartile,2024 - 25,"100,000.00"
24003672839,Upper quartile,2023 - 24,"147,000.00"
24003672839,Upper middle quartile,2023 - 24,"107,000.00"
24003672839,Total workforce,2023 - 24,"107,000.00"
24003672839,Lower quartile,2023 - 24,"77,000.00"
24003221583,Lower middle quartile,2024 - 25,"118,000.00"
24002348414,Lower middle quartile,2024 - 25,"74,000.00"
24002348414,Upper quartile,2023 - 24,"110,000.00"
24002348414,Upper middle quartile,2023 - 24,"89,000.00"
24002348414,Total workforce,2023 - 24,"88,000.00"
24002348414,Lower quartile,2023 - 24,"72,000.00"
24000973919,Lower middle quartile,2024 - 25,"78,000.00"
24000973919,Upper quartile,2023 - 24,"114,000.00"
24000973919,Upper middle quartile,2023 - 24,"69,000.00"
24000973919,Total workforce,2023 - 24,"76,000.00"
24000973919,Lower quartile,2023 - 24,"58,000.00"
24000893292,Lower middle quartile,2024 - 25,"139,000.00"
24000893292,Upper quartile,2023 - 24,"283,000.00"
24000893292,Upper middle quartile,2023 - 24,"181,000.00"
24000893292,Total workforce,2023 - 24,"167,000.00"
24000893292,Lower quartile,2023 - 24,"82,000.00"
24000770598,Lower middle quartile,2024 - 25,"65,000.00"
24000770598,Upper quartile,2023 - 24,"100,000.00"
24000770598,Upper middle quartile,2024 - 25,"68,000.00"
24000770598,Total workforce,2023 - 24,"70,000.00"
24000770598,Lower quartile,2023 - 24,"54,000.00"
23991641527,Lower middle quartile,2024 - 25,"121,000.00"
23983648409,Lower middle quartile,2024 - 25,"107,000.00"
23983648409,Upper quartile,2023 - 24,"327,000.00"
23983648409,Upper middle quartile,2023 - 24,"138,000.00"
23983648409,Total workforce,2023 - 24,"162,000.00"
23983648409,Lower quartile,2023 - 24,"77,000.00"
23964290824,Lower middle quartile,2024 - 25,"106,000.00"
23870133940,Lower middle quartile,2024 - 25,"67,000.00"
23870133940,Upper quartile,2023 - 24,"74,000.00"
23870133940,Upper middle quartile,2023 - 24,"65,000.00"
23870133940,Total workforce,2023 - 24,"66,000.00"
23870133940,Lower quartile,2023 - 24,"62,000.00"
23860168024,Lower middle quartile,2024 - 25,"88,000.00"
23860168024,Upper quartile,2023 - 24,"130,000.00"
23860168024,Upper middle quartile,2024 - 25,"105,000.00"
23860168024,Total workforce,2023 - 24,"95,000.00"
23860168024,Lower quartile,2023 - 24,"65,000.00"
23855672303,Lower middle quartile,2024 - 25,"82,000.00"
23855672303,Upper quartile,2023 - 24,"101,000.00"
23855672303,Upper middle quartile,2024 - 25,"105,000.00"
23855672303,Total workforce,2023 - 24,"78,000.00"
23855672303,Lower quartile,2023 - 24,"62,000.00"
23846477166,Lower middle quartile,2024 - 25,"86,000.00"
23846477166,Upper quartile,2023 - 24,"136,000.00"
23846477166,Upper middle quartile,2024 - 25,"113,000.00"
23846477166,Total workforce,2023 - 24,"96,000.00"
23846477166,Lower quartile,2023 - 24,"70,000.00"
23808082432,Upper quartile,2023 - 24,"206,000.00"
23808082432,Upper middle quartile,2023 - 24,"150,000.00"
23808082432,Total workforce,2023 - 24,"136,000.00"
23808082432,Lower quartile,2023 - 24,"79,000.00"
23808082432,Lower middle quartile,2023 - 24,"110,000.00"
23674335810,Lower middle quartile,2024 - 25,"172,000.00"
23665834935,Lower middle quartile,2024 - 25,"65,000.00"
23665834935,Upper quartile,2023 - 24,"88,000.00"
23665834935,Upper middle quartile,2023 - 24,"74,000.00"
23665834935,Total workforce,2023 - 24,"70,000.00"
23665834935,Lower quartile,2023 - 24,"55,000.00"
23654794748,Lower quartile,2024 - 25,"55,000.00"
23654794748,Lower middle quartile,2024 - 25,"74,000.00"
23654794748,Upper quartile,2023 - 24,"155,000.00"
23654794748,Upper middle quartile,2023 - 24,"87,000.00"
23654794748,Total workforce,2023 - 24,"90,000.00"
23648844375,Lower middle quartile,2024 - 25,"54,000.00"
23648844375,Upper quartile,2023 - 24,"75,000.00"
23648844375,Upper middle quartile,2023 - 24,"61,000.00"
23648844375,Total workforce,2023 - 24,"61,000.00"
